HUD frame time nsec:,79253000

Range Index,Elapsed Time, First Event,Last Event
0,16000,10,10
1,20320,18,18
2,704,26,26
3,704,31,31
4,31264,36,36
5,704,41,41
6,672,46,46
7,672,51,51
8,672,56,56
9,10048,70,70
10,8224,78,78
11,8448,86,86
12,9280,94,94
13,9856,102,102
14,9696,110,110
15,9376,118,118
16,8672,126,126
17,12768,134,134
18,9408,142,142
19,9760,150,150
20,16928,158,158
21,13728,166,166
22,16448,174,174
23,12032,182,182
24,11712,190,190
25,12256,198,198
26,12448,206,206
27,14304,214,214
28,12096,222,222
29,9536,230,230
30,10528,238,238
31,9152,246,246
32,10528,254,254
33,10528,262,262
34,10080,270,270
35,5888,278,278
36,5984,286,286
37,6464,294,294
38,6400,302,302
39,5760,310,310
40,5568,318,318
41,5760,326,326
42,10240,334,334
43,9952,342,342
44,11136,350,350
45,8928,358,358
46,8032,366,366
47,8384,374,374
48,8832,382,382
49,9728,390,390
50,10176,398,398
51,11520,406,406
52,7488,414,414
53,8384,422,422
54,7808,430,430
55,7520,438,438
56,7744,446,446
57,7680,454,454
58,9248,462,462
59,9024,470,470
60,7904,478,478
61,8512,486,486
62,7232,494,494
63,7392,502,502
64,7232,510,510
65,7232,518,518
66,6784,526,526
67,7712,534,534
68,7200,542,542
69,7392,550,550
70,12576,558,558
71,10944,566,566
72,7552,574,574
73,8288,582,582
74,6816,590,590
75,9568,598,598
76,6240,606,606
77,7168,614,614
78,6784,622,622
79,5792,630,630
80,6752,638,638
81,5600,646,646
82,6080,654,654
83,6080,662,662
84,5824,670,670
85,5888,678,678
86,6208,686,686
87,6432,694,694
88,7584,702,702
89,6400,710,710
90,15776,718,718
91,12128,726,726
92,11744,734,734
93,12640,742,742
94,15008,750,750
95,14720,758,758
96,11136,766,766
97,10560,774,774
98,14368,782,782
99,14112,790,790
100,14560,798,798
101,7392,806,806
102,7328,814,814
103,7552,822,822
104,9152,830,830
105,14944,838,838
106,10816,846,846
107,11520,854,854
108,10464,862,862
109,10432,870,870
110,10304,878,878
111,10464,886,886
112,6400,894,894
113,6080,902,902
114,5888,910,910
115,6304,918,918
116,7200,926,926
117,7616,934,934
118,6816,942,942
119,5792,950,950
120,6496,958,958
121,6144,966,966
122,6080,974,974
123,11936,982,982
124,13312,990,990
125,10176,998,998
126,8672,1006,1006
127,9760,1014,1014
128,8960,1022,1022
129,7040,1030,1030
130,8576,1038,1038
131,6464,1046,1046
132,8352,1054,1054
133,8864,1062,1062
134,8704,1070,1070
135,10336,1078,1078
136,11360,1086,1086
137,11296,1094,1094
138,8000,1102,1102
139,7136,1110,1110
140,8064,1118,1118
141,12032,1126,1126
142,11328,1134,1134
143,12288,1142,1142
144,9888,1150,1150
145,11488,1158,1158
146,7136,1166,1166
147,7520,1174,1174
148,6784,1182,1182
149,8576,1190,1190
150,7104,1198,1198
151,7264,1206,1206
152,6080,1214,1214
153,6816,1222,1222
154,6336,1230,1230
155,7072,1238,1238
156,7008,1246,1246
157,9088,1254,1254
158,9664,1262,1262
159,7936,1270,1270
160,9952,1278,1278
161,6016,1286,1286
162,7840,1294,1294
163,6112,1302,1302
164,6048,1310,1310
165,5856,1318,1318
166,5696,1326,1326
167,6208,1334,1334
168,5824,1342,1342
169,6272,1350,1350
170,5632,1358,1358
171,5856,1366,1366
172,9472,1374,1374
173,9824,1382,1382
174,9728,1390,1390
175,11488,1398,1398
176,11808,1406,1406
177,15264,1414,1414
178,14912,1422,1422
179,7680,1430,1430
180,9216,1438,1438
181,10784,1446,1446
182,10752,1454,1454
183,10016,1462,1462
184,9376,1470,1470
185,10112,1478,1478
186,9088,1486,1486
187,9920,1494,1494
188,9120,1502,1502
189,9952,1510,1510
190,14080,1518,1518
191,9024,1526,1526
192,13120,1534,1534
193,13216,1542,1542
194,12928,1550,1550
195,13152,1558,1558
196,12384,1566,1566
197,13088,1574,1574
198,11744,1582,1582
199,11008,1590,1590
200,11168,1598,1598
201,10688,1606,1606
202,10432,1614,1614
203,6816,1622,1622
204,7744,1630,1630
205,6176,1638,1638
206,7200,1646,1646
207,5952,1654,1654
208,6112,1662,1662
209,5568,1670,1670
210,11232,1678,1678
211,6208,1686,1686
212,6400,1694,1694
213,6144,1702,1702
214,10560,1710,1710
215,6784,1718,1718
216,7552,1726,1726
217,5888,1734,1734
218,8736,1742,1742
219,9152,1750,1750
220,8288,1758,1758
221,8096,1766,1766
222,8352,1774,1774
223,9408,1782,1782
224,12224,1790,1790
225,8768,1798,1798
226,9344,1806,1806
227,10240,1814,1814
228,10144,1822,1822
229,10240,1830,1830
230,7456,1838,1838
231,6400,1846,1846
232,9568,1854,1854
233,10176,1862,1862
234,8960,1870,1870
235,8640,1878,1878
236,11008,1886,1886
237,7904,1894,1894
238,12000,1902,1902
239,16704,1910,1910
240,7392,1918,1918
241,10176,1926,1926
242,9536,1934,1934
243,8768,1942,1942
244,12704,1950,1950
245,12128,1958,1958
246,9536,1966,1966
247,8448,1974,1974
248,10592,1982,1982
249,9696,1990,1990
250,10240,1998,1998
251,10144,2006,2006
252,10048,2014,2014
253,9568,2022,2022
254,9280,2030,2030
255,9920,2038,2038
256,9408,2046,2046
257,9024,2054,2054
258,13600,2062,2062
259,10240,2070,2070
260,13184,2078,2078
261,12928,2086,2086
262,13696,2094,2094
263,11776,2102,2102
264,10912,2110,2110
265,11424,2118,2118
266,10816,2126,2126
267,10816,2134,2134
268,6784,2142,2142
269,6784,2150,2150
270,6496,2158,2158
271,7840,2166,2166
272,7008,2174,2174
273,5728,2182,2182
274,5696,2190,2190
275,5920,2198,2198
276,6560,2206,2206
277,7904,2214,2214
278,8032,2222,2222
279,8000,2230,2230
280,6496,2238,2238
281,9600,2246,2246
282,6368,2254,2254
283,6560,2262,2262
284,8960,2270,2270
285,8992,2278,2278
286,7712,2286,2286
287,8576,2294,2294
288,7488,2302,2302
289,7328,2310,2310
290,7392,2318,2318
291,7808,2326,2326
292,8224,2334,2334
293,9408,2342,2342
294,9600,2350,2350
295,9120,2358,2358
296,7424,2366,2366
297,6080,2374,2374
298,6368,2382,2382
299,5952,2390,2390
300,6080,2398,2398
301,7104,2406,2406
302,10272,2414,2414
303,10336,2422,2422
304,9984,2430,2430
305,10336,2438,2438
306,10304,2446,2446
307,10368,2454,2454
308,3616,2462,2462
309,651904,2464,2464
